Review,predicted_sentiment,Rate,tokens,filtered_tokens,lemmas
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
terrific,positive,5,['terrific'],['terrific'],['terrific']
awesome,positive,5,['awesome'],['awesome'],['awesome']
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
terrific,positive,5,['terrific'],['terrific'],['terrific']
expected a better product,negative,2,"['expected', 'a', 'better', 'product']","['expected', 'better', 'product']","['expected', 'better', 'product']"
excellent,positive,5,['excellent'],['excellent'],['excellent']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
awesome,positive,5,['awesome'],['awesome'],['awesome']
excellent,positive,5,['excellent'],['excellent'],['excellent']
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
awesome,positive,5,['awesome'],['awesome'],['awesome']
decent product,positive,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
very satisfactory,positive,3,"['very', 'satisfactory']",['satisfactory'],['satisfactory']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
waste of money!,negative,1,"['waste', 'of', 'money', '!']","['waste', 'money']","['waste', 'money']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
good not best,positive,4,"['good', 'not', 'best']","['good', 'best']","['good', 'best']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
does the job,positive,4,"['does', 'the', 'job']",['job'],['job']
nice,negative,3,['nice'],['nice'],['nice']
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
pretty good,positive,4,"['pretty', 'good']","['pretty', 'good']","['pretty', 'good']"
good cooler,positive,5,"['good', 'cooler']","['good', 'cooler']","['good', 'cooler']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
worthless,positive,1,['worthless'],['worthless'],['worthless']
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
decent product,positive,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
super!,positive,5,"['super', '!']",['super'],['super']
worst experience ever!,negative,1,"['worst', 'experience', 'ever', '!']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']"
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
nice product,positive,4,"['nice', 'product']","['nice', 'product']","['nice', 'product']"
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
useless product,positive,1,"['useless', 'product']","['useless', 'product']","['useless', 'product']"
excellent,positive,5,['excellent'],['excellent'],['excellent']
"like an assembled, one can get for 4.5k cheap quality",negative,1,"['like', 'an', 'assembled', ',', 'one', 'can', 'get', 'for', '4.5k', 'cheap', 'quality']","['like', 'assembled', 'one', 'get', 'cheap', 'quality']","['like', 'assembled', 'one', 'get', 'cheap', 'quality']"
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
not good,negative,2,"['not', 'good']",['good'],['good']
very good,positive,4,"['very', 'good']",['good'],['good']
super!,positive,5,"['super', '!']",['super'],['super']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
slightly disappointed,negative,2,"['slightly', 'disappointed']","['slightly', 'disappointed']","['slightly', 'disappointed']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
expected a better product,positive,2,"['expected', 'a', 'better', 'product']","['expected', 'better', 'product']","['expected', 'better', 'product']"
horrible,negative,1,['horrible'],['horrible'],['horrible']
nice,positive,3,['nice'],['nice'],['nice']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
very poor,negative,1,"['very', 'poor']",['poor'],['poor']
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
useless product,negative,1,"['useless', 'product']","['useless', 'product']","['useless', 'product']"
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
unsatisfactory,negative,1,['unsatisfactory'],['unsatisfactory'],['unsatisfactory']
really nice,positive,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
unsatisfactory,negative,1,['unsatisfactory'],['unsatisfactory'],['unsatisfactory']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
classy product,positive,5,"['classy', 'product']","['classy', 'product']","['classy', 'product']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
absolute rubbish!,negative,1,"['absolute', 'rubbish', '!']","['absolute', 'rubbish']","['absolute', 'rubbish']"
terrific,positive,5,['terrific'],['terrific'],['terrific']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
just okay,negative,3,"['just', 'okay']",['okay'],['okay']
nice product,positive,4,"['nice', 'product']","['nice', 'product']","['nice', 'product']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
perfect product!,negative,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
bad quality,positive,2,"['bad', 'quality']","['bad', 'quality']","['bad', 'quality']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
worst experience ever!,neutral,1,"['worst', 'experience', 'ever', '!']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']"
really nice,positive,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
really nice,positive,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
just okay,negative,3,"['just', 'okay']",['okay'],['okay']
super!,positive,5,"['super', '!']",['super'],['super']
nice,positive,3,['nice'],['nice'],['nice']
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
worthless,negative,1,['worthless'],['worthless'],['worthless']
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
absolute rubbish!,positive,1,"['absolute', 'rubbish', '!']","['absolute', 'rubbish']","['absolute', 'rubbish']"
super!,positive,5,"['super', '!']",['super'],['super']
very good,positive,4,"['very', 'good']",['good'],['good']
really nice,positive,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
just okay,neutral,3,"['just', 'okay']",['okay'],['okay']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
very poor,negative,1,"['very', 'poor']",['poor'],['poor']
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
excellent,positive,5,['excellent'],['excellent'],['excellent']
delightful,positive,4,['delightful'],['delightful'],['delightful']
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
great product,positive,5,"['great', 'product']","['great', 'product']","['great', 'product']"
worst experience ever!,positive,1,"['worst', 'experience', 'ever', '!']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']"
terrific,positive,5,['terrific'],['terrific'],['terrific']
value-for-money,positive,4,['value-for-money'],[],[]
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
good choice,positive,4,"['good', 'choice']","['good', 'choice']","['good', 'choice']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
very good,positive,4,"['very', 'good']",['good'],['good']
excellent,positive,5,['excellent'],['excellent'],['excellent']
very poor,negative,1,"['very', 'poor']",['poor'],['poor']
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
classy product,positive,5,"['classy', 'product']","['classy', 'product']","['classy', 'product']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
worst experience ever!,negative,1,"['worst', 'experience', 'ever', '!']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']"
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
nice,negative,3,['nice'],['nice'],['nice']
absolute rubbish!,negative,1,"['absolute', 'rubbish', '!']","['absolute', 'rubbish']","['absolute', 'rubbish']"
decent product,neutral,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
hated it!,negative,1,"['hated', 'it', '!']",['hated'],['hated']
useless product,positive,1,"['useless', 'product']","['useless', 'product']","['useless', 'product']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
awesome,positive,5,['awesome'],['awesome'],['awesome']
super!,positive,5,"['super', '!']",['super'],['super']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
fair,neutral,3,['fair'],['fair'],['fair']
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
good choice,positive,4,"['good', 'choice']","['good', 'choice']","['good', 'choice']"
good,positive,3,['good'],['good'],['good']
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
value-for-money,positive,4,['value-for-money'],[],[]
absolute rubbish!,negative,1,"['absolute', 'rubbish', '!']","['absolute', 'rubbish']","['absolute', 'rubbish']"
unsatisfactory,negative,1,['unsatisfactory'],['unsatisfactory'],['unsatisfactory']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
awesome,positive,5,['awesome'],['awesome'],['awesome']
terrific,positive,5,['terrific'],['terrific'],['terrific']
nice,negative,3,['nice'],['nice'],['nice']
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
terrible product,neutral,1,"['terrible', 'product']","['terrible', 'product']","['terrible', 'product']"
super!,positive,5,"['super', '!']",['super'],['super']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
good choice,positive,4,"['good', 'choice']","['good', 'choice']","['good', 'choice']"
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
super!,positive,5,"['super', '!']",['super'],['super']
good choice,positive,4,"['good', 'choice']","['good', 'choice']","['good', 'choice']"
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
not recommended at all,negative,1,"['not', 'recommended', 'at', 'all']",['recommended'],['recommended']
awesome,positive,5,['awesome'],['awesome'],['awesome']
terrific,positive,5,['terrific'],['terrific'],['terrific']
delightful,positive,4,['delightful'],['delightful'],['delightful']
very good,positive,4,"['very', 'good']",['good'],['good']
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
super!,positive,5,"['super', '!']",['super'],['super']
hated it!,negative,1,"['hated', 'it', '!']",['hated'],['hated']
decent product,neutral,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
terrific,positive,5,['terrific'],['terrific'],['terrific']
excellent,positive,5,['excellent'],['excellent'],['excellent']
terrific,positive,5,['terrific'],['terrific'],['terrific']
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
classy product,positive,5,"['classy', 'product']","['classy', 'product']","['classy', 'product']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
did not meet expectations,negative,1,"['did', 'not', 'meet', 'expectations']","['meet', 'expectations']","['meet', 'expectation']"
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
classy product,positive,5,"['classy', 'product']","['classy', 'product']","['classy', 'product']"
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
terrific,positive,5,['terrific'],['terrific'],['terrific']
very good,positive,4,"['very', 'good']",['good'],['good']
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
delightful,positive,4,['delightful'],['delightful'],['delightful']
value-for-money,positive,4,['value-for-money'],[],[]
very poor,negative,1,"['very', 'poor']",['poor'],['poor']
nice product,positive,4,"['nice', 'product']","['nice', 'product']","['nice', 'product']"
terrific,positive,5,['terrific'],['terrific'],['terrific']
value-for-money,positive,4,['value-for-money'],[],[]
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
decent product,positive,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
super!,positive,5,"['super', '!']",['super'],['super']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
super!,positive,5,"['super', '!']",['super'],['super']
excellent,positive,5,['excellent'],['excellent'],['excellent']
good,positive,3,['good'],['good'],['good']
horrible,negative,1,['horrible'],['horrible'],['horrible']
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
decent product,negative,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
badly disappointed,negative,2,"['badly', 'disappointed']","['badly', 'disappointed']","['badly', 'disappointed']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
good,neutral,3,['good'],['good'],['good']
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
terrible product,negative,1,"['terrible', 'product']","['terrible', 'product']","['terrible', 'product']"
unsatisfactory,negative,1,['unsatisfactory'],['unsatisfactory'],['unsatisfactory']
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
highly recommended,positive,5,"['highly', 'recommended']","['highly', 'recommended']","['highly', 'recommended']"
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
just okay,negative,3,"['just', 'okay']",['okay'],['okay']
excellent,positive,5,['excellent'],['excellent'],['excellent']
mind-blowing purchase,neutral,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
value-for-money,positive,4,['value-for-money'],[],[]
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
unsatisfactory,positive,1,['unsatisfactory'],['unsatisfactory'],['unsatisfactory']
value-for-money,positive,4,['value-for-money'],[],[]
not good,negative,2,"['not', 'good']",['good'],['good']
excellent,positive,5,['excellent'],['excellent'],['excellent']
nice,positive,3,['nice'],['nice'],['nice']
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
very good,positive,4,"['very', 'good']",['good'],['good']
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
utterly disappointed,negative,1,"['utterly', 'disappointed']","['utterly', 'disappointed']","['utterly', 'disappointed']"
really nice,positive,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
pretty good,positive,4,"['pretty', 'good']","['pretty', 'good']","['pretty', 'good']"
awesome,positive,5,['awesome'],['awesome'],['awesome']
terrible product,negative,1,"['terrible', 'product']","['terrible', 'product']","['terrible', 'product']"
does the job,negative,3,"['does', 'the', 'job']",['job'],['job']
excellent,positive,5,['excellent'],['excellent'],['excellent']
decent product,negative,3,"['decent', 'product']","['decent', 'product']","['decent', 'product']"
did not meet expectations,negative,1,"['did', 'not', 'meet', 'expectations']","['meet', 'expectations']","['meet', 'expectation']"
absolute rubbish!,negative,1,"['absolute', 'rubbish', '!']","['absolute', 'rubbish']","['absolute', 'rubbish']"
very good,positive,4,"['very', 'good']",['good'],['good']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
does the job,negative,3,"['does', 'the', 'job']",['job'],['job']
nice,negative,3,['nice'],['nice'],['nice']
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
value-for-money,positive,4,['value-for-money'],[],[]
pretty good,positive,4,"['pretty', 'good']","['pretty', 'good']","['pretty', 'good']"
excellent,positive,5,['excellent'],['excellent'],['excellent']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
not good,positive,2,"['not', 'good']",['good'],['good']
excellent,positive,5,['excellent'],['excellent'],['excellent']
super!,positive,5,"['super', '!']",['super'],['super']
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
delightful,positive,4,['delightful'],['delightful'],['delightful']
moderate,negative,2,['moderate'],['moderate'],['moderate']
very poor,negative,1,"['very', 'poor']",['poor'],['poor']
horrible,negative,1,['horrible'],['horrible'],['horrible']
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
super!,positive,5,"['super', '!']",['super'],['super']
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
wonderful,neutral,4,['wonderful'],['wonderful'],['wonderful']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
wonderful,positive,5,['wonderful'],['wonderful'],['wonderful']
absolute rubbish!,positive,1,"['absolute', 'rubbish', '!']","['absolute', 'rubbish']","['absolute', 'rubbish']"
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
nice product,positive,4,"['nice', 'product']","['nice', 'product']","['nice', 'product']"
simply awesome,positive,5,"['simply', 'awesome']","['simply', 'awesome']","['simply', 'awesome']"
really nice,positive,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
delightful,positive,4,['delightful'],['delightful'],['delightful']
super!,positive,5,"['super', '!']",['super'],['super']
really nice,neutral,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
wonderful,positive,4,['wonderful'],['wonderful'],['wonderful']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
delightful,positive,4,['delightful'],['delightful'],['delightful']
excellent,positive,5,['excellent'],['excellent'],['excellent']
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
brilliant,positive,5,['brilliant'],['brilliant'],['brilliant']
terrific purchase,positive,5,"['terrific', 'purchase']","['terrific', 'purchase']","['terrific', 'purchase']"
just okay,negative,3,"['just', 'okay']",['okay'],['okay']
excellent,positive,5,['excellent'],['excellent'],['excellent']
horrible,negative,1,['horrible'],['horrible'],['horrible']
bad quality,positive,2,"['bad', 'quality']","['bad', 'quality']","['bad', 'quality']"
excellent,positive,5,['excellent'],['excellent'],['excellent']
value-for-money,positive,4,['value-for-money'],[],[]
good,positive,3,['good'],['good'],['good']
must buy!,positive,5,"['must', 'buy', '!']","['must', 'buy']","['must', 'buy']"
really nice,neutral,4,"['really', 'nice']","['really', 'nice']","['really', 'nice']"
classy product,positive,5,"['classy', 'product']","['classy', 'product']","['classy', 'product']"
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
perfect product!,positive,5,"['perfect', 'product', '!']","['perfect', 'product']","['perfect', 'product']"
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
worth the money,positive,4,"['worth', 'the', 'money']","['worth', 'money']","['worth', 'money']"
value-for-money,negative,4,['value-for-money'],[],[]
just wow!,positive,5,"['just', 'wow', '!']",['wow'],['wow']
pretty good,positive,4,"['pretty', 'good']","['pretty', 'good']","['pretty', 'good']"
fabulous!,positive,5,"['fabulous', '!']",['fabulous'],['fabulous']
good quality product,positive,4,"['good', 'quality', 'product']","['good', 'quality', 'product']","['good', 'quality', 'product']"
worth every penny,positive,5,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']"
nice,positive,3,['nice'],['nice'],['nice']
delightful,positive,4,['delightful'],['delightful'],['delightful']
mind-blowing purchase,positive,5,"['mind-blowing', 'purchase']",['purchase'],['purchase']
good,positive,3,['good'],['good'],['good']
best in the market!,positive,5,"['best', 'in', 'the', 'market', '!']","['best', 'market']","['best', 'market']"
